"Crash.ID","State","Month","Year","Crash.Type","Number.Fatalities","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","National.LGA.Name.2017","Christmas.Period","Easter.Period","Time.of.day"
20202033,"Vic",12,2020,"Multiple",1,"No","No","No",NA,"East Gippsland (S)","No","No","Day"
20202116,"Vic",12,2020,"Single",1,"No","No","No","50","Yarra Ranges (S)","No","No","Day"
20203206,"Qld",12,2020,"Multiple",1,"No","No","No","80","Bundaberg (R)","No","No","Day"
20207009,"NT",12,2020,"Single",1,"No","No","No","110","Roper Gulf (R)","No","No","Night"
20201203,"NSW",12,2020,"Multiple",1,"No","No","No","90","Eurobodalla","No","No","Day"
20204084,"SA",12,2020,"Single",1,"No","No","No","50","Coober Pedy (DC)","No","No","Night"
20203036,"Qld",12,2020,"Single",1,"No","No","No","50","Gold Coast (C)","No","No","Day"
20203094,"Qld",12,2020,"Single",1,"No","No","No","100","Mareeba (S)","No","No","Day"
20201045,"NSW",12,2020,"Single",1,"No","No","No","110","Narrandera","Yes","No","Day"
20202081,"Vic",12,2020,"Multiple",1,"No","No","No","100","Golden Plains (S)","No","No","Night"
20201265,"NSW",12,2020,"Single",1,"No","No","No","100","Dubbo Regional","No","No","Night"
20204079,"SA",12,2020,"Single",1,"No","No","No","110","Unincorporated SA","No","No","Night"
20203147,"Qld",12,2020,"Single",1,"No","No","No","60","Moreton Bay (R)","Yes","No","Night"
20207012,"NT",12,2020,"Single",1,"No","No","Yes","110","Roper Gulf (R)","No","No","Night"
20201050,"NSW",12,2020,"Single",1,"Yes","No","No","40","Waverley","No","No","Day"
20201148,"NSW",12,2020,"Single",1,"No","No","No","50","Wollongong","No","No","Day"
20202091,"Vic",12,2020,"Single",1,"No","No","No","70","Maribyrnong (C)","No","No","Night"
20203100,"Qld",12,2020,"Single",1,"No","No","No","50","Moreton Bay (R)","No","No","Day"
20203096,"Qld",12,2020,"Single",1,"No","No","No","50","Gold Coast (C)","No","No","Night"
20203116,"Qld",12,2020,"Multiple",2,"No","No","No","60","Cairns (R)","No","No","Night"
20203161,"Qld",12,2020,"Multiple",1,"No","No","No","70","Moreton Bay (R)","No","No","Night"
20202106,"Vic",12,2020,"Single",1,"No","No","No","100","Gannawarra (S)","No","No","Day"
20202133,"Vic",12,2020,"Single",1,"No","No","No",NA,"East Gippsland (S)","Yes","No","Night"
20204004,"SA",12,2020,"Multiple",1,"No","No","Yes","110","Port Pirie City and Dists (M)","Yes","No","Day"
20201277,"NSW",11,2020,"Single",1,"No","No","No","100","Oberon","No","No","Night"
20202047,"Vic",11,2020,"Single",1,"No","No","No","100","Indigo (S)","No","No","Day"
20205093,"WA",11,2020,"Single",1,"No","No","No","80",NA,"No","No","Night"
20201109,"NSW",11,2020,"Multiple",1,"No","No","No","60","Bayside","No","No","Day"
20201125,"NSW",11,2020,"Multiple",1,"No","No","No","50","Wollongong","No","No","Night"
20204041,"SA",11,2020,"Single",1,"No","No","No","100","Light (RegC)","No","No","Night"
20201227,"NSW",11,2020,"Single",1,"No","No","No","60","Maitland","No","No","Night"
20207010,"NT",11,2020,"Single",1,"No","No","No","80","Litchfield (M)","No","No","Night"
20204030,"SA",11,2020,"Single",1,"No","No","No","100","Ceduna (DC)","No","No","Night"
20203055,"Qld",11,2020,"Multiple",1,"No","No","Yes","100","Livingstone (S)","No","No","Night"
20202085,"Vic",11,2020,"Single",1,"No","No","No","60","Wyndham (C)","No","No","Night"
20201010,"NSW",11,2020,"Multiple",1,"No","Yes","No","100","Eurobodalla","No","No","Day"
20204069,"SA",11,2020,"Multiple",1,"No","No","No","50","Adelaide Hills (DC)","No","No","Night"
20203085,"Qld",11,2020,"Single",1,"No","No","No","60","Sunshine Coast (R)","No","No","Night"
20204015,"SA",11,2020,"Multiple",1,"No","No","No","100","Victor Harbor (C)","No","No","Day"
20201259,"NSW",11,2020,"Multiple",1,"No","No","No","60","Central Coast","No","No","Day"
20202124,"Vic",11,2020,"Multiple",1,"No","No","No","60","Kingston (C) (Vic.)","No","No","Night"
20204053,"SA",11,2020,"Multiple",3,"No","No","No","110","Grant (DC)","No","No","Day"
20207006,"NT",11,2020,"Single",1,"No","No","No","80","Victoria Daly (R)","No","No","Night"
20203068,"Qld",11,2020,"Multiple",1,"No","No","No","60","Moreton Bay (R)","No","No","Day"
20201149,"NSW",11,2020,"Multiple",1,"No","Yes","No","50","Sydney","No","No","Night"
20205073,"WA",11,2020,"Single",1,"No","No","No","110",NA,"No","No","Day"
20205099,"WA",11,2020,"Single",1,"No","No","No","80",NA,"No","No","Day"
20204056,"SA",11,2020,"Multiple",1,"No","No","No","110","Goyder (DC)","No","No","Day"
20205087,"WA",11,2020,"Multiple",2,"No","No","Yes","110",NA,"No","No","Day"
20205119,"WA",11,2020,"Single",2,"No","No","No","110",NA,"No","No","Night"
20203183,"Qld",11,2020,"Multiple",1,"No","No","Yes","100","Townsville (C)","No","No","Night"
20203121,"Qld",11,2020,"Multiple",1,"No","No","No","80","Gold Coast (C)","No","No","Day"
20202097,"Vic",11,2020,"Single",1,"No","No","No","60","East Gippsland (S)","No","No","Night"
20203078,"Qld",11,2020,"Single",1,"No","No","No","100","Gladstone (R)","No","No","Day"
20203025,"Qld",11,2020,"Single",1,"No","No","Yes","100","Bundaberg (R)","No","No","Night"
20203103,"Qld",11,2020,"Single",2,"No","No","No","100","Scenic Rim (R)","No","No","Day"
20204046,"SA",11,2020,"Single",1,"No","No","No","100","Copper Coast (DC)","No","No","Night"
20205105,"WA",11,2020,"Multiple",2,"No","No","No","110",NA,"No","No","Day"
20201216,"NSW",11,2020,"Single",1,"No","No","No","100","Carrathool","No","No","Night"
20205025,"WA",11,2020,"Multiple",2,"No","No","No","110",NA,"No","No","Day"
20205067,"WA",11,2020,"Single",1,"No","No","No","110",NA,"No","No","Day"
20201040,"NSW",11,2020,"Single",1,"No","No","No","100","Goulburn Mulwaree","No","No","Day"
20202140,"Vic",11,2020,"Single",1,"No","No","No","50","Brimbank (C)","No","No","Night"
20203230,"Qld",11,2020,"Multiple",1,"No","No","No","100","Gold Coast (C)","No","No","Night"
20201264,"NSW",11,2020,"Multiple",1,"No","No","No","60","Hawkesbury","No","No","Night"
20201011,"NSW",11,2020,"Single",1,"No","No","No","60","Canterbury-Bankstown","No","No","Day"
20201030,"NSW",11,2020,"Multiple",1,"No","Yes","No","60","Bayside","No","No","Night"
20203070,"Qld",11,2020,"Multiple",1,"No","No","Yes","100","Mackay (R)","No","No","Night"
20203043,"Qld",11,2020,"Single",1,"No","No","No","100","Somerset (R)","No","No","Night"
20204071,"SA",11,2020,"Multiple",1,"No","No","No","60","Campbelltown (C) (SA)","No","No","Day"
20205076,"WA",11,2020,"Multiple",1,"No","No","No","60",NA,"No","No","Day"
20201077,"NSW",11,2020,"Multiple",1,"No","No","No","100","Cabonne","No","No","Day"
20205089,"WA",11,2020,"Single",1,"No","No","No","50",NA,"No","No","Night"
20203109,"Qld",11,2020,"Single",1,"No","No","No","100","Toowoomba (R)","No","No","Night"
20205133,"WA",11,2020,"Single",1,"No","No","No","50",NA,"No","No","Day"
20205102,"WA",11,2020,"Single",1,"No","No","No","110",NA,"No","No","Day"
20207014,"NT",11,2020,"Multiple",1,"No","No","No","110","Litchfield (M)","No","No","Night"
20204018,"SA",11,2020,"Multiple",1,"Yes","No","No","60","Marion (C)","No","No","Day"
20201276,"NSW",11,2020,"Multiple",1,"No","Yes","No","100","Bland","No","No","Day"
20201124,"NSW",11,2020,"Single",1,"No","No","No","100","Moree Plains","No","No","Night"
20202019,"Vic",11,2020,"Multiple",1,"No","Yes","No","60","Cardinia (S)","No","No","Day"
20202129,"Vic",11,2020,"Multiple",1,"No","No","No","100","Central Goldfields (S)","No","No","Day"
20202025,"Vic",11,2020,"Multiple",1,"No","No","No","100","Buloke (S)","No","No","Day"
20201260,"NSW",11,2020,"Multiple",1,"No","No","Yes","100","Dubbo Regional","No","No","Day"
20201202,"NSW",11,2020,"Multiple",1,"No","No","No","50","Wollongong","No","No","Day"
20203120,"Qld",11,2020,"Multiple",1,"No","No","No","80","Moreton Bay (R)","No","No","Day"
20204003,"SA",11,2020,"Single",1,"No","No","No","50","Renmark Paringa (DC)","No","No","Day"
20202102,"Vic",11,2020,"Multiple",1,"No","No","No","100","Wellington (S)","No","No","Day"
20203113,"Qld",11,2020,"Single",1,"No","No","No","100","Somerset (R)","No","No","Day"
20203006,"Qld",11,2020,"Multiple",2,"No","No","Yes","100","Isaac (R)","No","No","Day"
20201217,"NSW",11,2020,"Multiple",1,"No","No","No","80","Wollongong","No","No","Day"
20204070,"SA",11,2020,"Multiple",1,"No","No","No","80","Alexandrina (DC)","No","No","Day"
20203035,"Qld",11,2020,"Multiple",1,"No","No","Yes","100","Banana (S)","No","No","Day"
20203140,"Qld",11,2020,"Multiple",1,"Yes","No","No","80","Bundaberg (R)","No","No","Day"
20204006,"SA",11,2020,"Single",1,"No","No","No","100","Unincorporated SA","No","No","Day"
20203247,"Qld",11,2020,"Multiple",1,"No","No","No","100","Bundaberg (R)","No","No","Day"
20201032,"NSW",11,2020,"Multiple",1,"No","No","No","100","Snowy Valleys","No","No","Day"
20201200,"NSW",11,2020,"Single",2,"No","No","No","60","Fairfield","No","No","Night"
20205037,"WA",11,2020,"Single",1,"No","No","No","80",NA,"No","No","Night"
20206014,"Tas",11,2020,"Single",1,"No","No","No","100","Glenorchy (C)","No","No","Night"
20202187,"Vic",11,2020,"Single",1,"No","No","Yes","60","Banyule (C)","No","No","Day"
20202164,"Vic",11,2020,"Single",1,"No","No","No","60","Melbourne (C)","No","No","Day"
20202045,"Vic",11,2020,"Single",1,"No","No","No","60","Whittlesea (C)","No","No","Night"
20201201,"NSW",11,2020,"Single",1,"No","No","No","100","Shoalhaven","No","No","Night"
20201157,"NSW",11,2020,"Single",1,"No","No","No","100","Junee","No","No","Night"
