"Crash.ID","State","Month","Year","Crash.Type","Bus.Involvement","Heavy.Rigid.Truck.Involvement","Articulated.Truck.Involvement","Speed.Limit","Road.User","Gender","Age","National.LGA.Name.2017","Christmas.Period","Easter.Period","Age.Group","Time.of.day"
20201226,"NSW",12,2020,"Single","No","No","No","80","Driver","Male",75,"Coffs Harbour","No","No","75_or_older","Day"
20205129,"WA",12,2020,"Single","No","No","No","80","Driver","Male",25,NA,"No","No","17_to_25","Night"
20202152,"Vic",12,2020,"Single","No","No","No","100","Driver","Male",81,"Mount Alexander (S)","No","No","75_or_older","Day"
20205024,"WA",12,2020,"Multiple","No","No","Yes","60","Pedestrian","Male",62,NA,"No","No","40_to_64","Day"
20206029,"Tas",12,2020,"Single","No","No","No","100","Passenger","Male",21,"Waratah/Wynyard (M)","No","No","17_to_25","Night"
20203116,"Qld",12,2020,"Multiple","No","No","No","60","Motorcycle pillion passenger","Male",17,"Cairns (R)","No","No","17_to_25","Night"
20201114,"NSW",12,2020,"Multiple","No","No","No","100","Driver","Male",28,"Muswellbrook","No","No","26_to_39","Night"
20202038,"Vic",12,2020,"Multiple","No","No","No","100","Driver","Female",16,"Glenelg (S)","Yes","No","0_to_16","Day"
20202116,"Vic",12,2020,"Single","No","No","No","50","Driver","Male",53,"Yarra Ranges (S)","No","No","40_to_64","Day"
20201262,"NSW",12,2020,"Single","No","No","No","100","Passenger","Female",34,"Narromine","Yes","No","26_to_39","Day"
20201148,"NSW",12,2020,"Single","No","No","No","50","Pedestrian","Male",10,"Wollongong","No","No","0_to_16","Day"
20201166,"NSW",12,2020,"Single","No","No","No","100","Driver","Female",73,"Bega Valley","No","No","65_to_74","Day"
20207009,"NT",12,2020,"Single","No","No","No","110","Pedestrian","Male",36,"Roper Gulf (R)","No","No","26_to_39","Night"
20204017,"SA",12,2020,"Multiple","No","No","No","60","Motorcycle rider","Male",35,"Norwood Payneham St Peters (C)","Yes","No","26_to_39","Day"
20207012,"NT",12,2020,"Single","No","No","Yes","110","Pedestrian","Male",65,"Roper Gulf (R)","No","No","65_to_74","Night"
20201203,"NSW",12,2020,"Multiple","No","No","No","90","Driver","Female",36,"Eurobodalla","No","No","26_to_39","Day"
